dropped_feature,accuracy,macro_f1,total_pnl,win_rate,trades,delta_accuracy,delta_macro_f1,delta_total_pnl,delta_win_rate
"(none, baseline)",0.5868,0.5750711782113183,26.217110074417015,0.7146381578947368,6080,,,,
latest_spread_z,0.443,0.3851755369743772,5.493867125609409,0.5204498977505112,3912,-0.14379999999999998,-0.18989564123694108,-20.723242948807606,-0.19418826014422563
mean_spread_z,0.5848,0.5728242608246132,26.39192768903365,0.7147562582345192,6072,-0.0020000000000000018,-0.0022469173867050163,0.1748176146166358,0.00011810033978232326
min_spread_z,0.588,0.5747056549964283,26.327535225461936,0.7178631051752922,5990,0.0011999999999999789,-0.0003655232148899179,0.11042515104492168,0.0032249472805553347
max_spread_z,0.5872,0.5781086197140296,26.25399534105685,0.709735380594577,6122,0.00040000000000006697,0.0030374415027113466,0.03688526663983538,-0.004902777300159866
spread_slope,0.5902,0.5780380255947418,26.26946271416475,0.7167936402782378,6038,0.0033999999999999586,0.0029668473834235654,0.05235263974773474,0.0021554823835009396
latest_volume_ratio,0.5912,0.5781878360243191,26.17417489975366,0.7201000834028357,5995,0.0043999999999999595,0.003116657813000856,-0.042935174663355724,0.005461925508098875
mean_volume_ratio,0.5855,0.572363546101204,25.788537557899435,0.7143830947511929,5868,-0.0012999999999999678,-0.0027076321101142664,-0.42857251651757977,-0.0002550631435439543
latest_btc_return_24h,0.5867,0.573947776245152,26.488707136734917,0.7188682349070571,6079,-9.999999999998899e-05,-0.0011234019661662265,0.2715970623179018,0.004230077012320255
latest_rolling_corr,0.5847,0.5733516502937734,26.227189606297422,0.7142622141799638,6079,-0.0020999999999999908,-0.0017195279175448164,0.010079531880407444,-0.00037594371477300825
latest_realized_vol_a,0.5907,0.5794972487244353,26.48433102923859,0.7175660160734788,6097,0.0039000000000000146,0.004426070513117053,0.2672209548215747,0.002927858178741971
latest_realized_vol_b,0.5847,0.5753426592723558,26.47473579290652,0.7111895970460748,6229,-0.0020999999999999908,0.00027148106103758174,0.257625718489507,-0.0034485608486620745
time_since_zero_crossing,0.5896,0.5777339087174429,26.337921062047585,0.7154137193617371,6079,0.0028000000000000247,0.0026627305061246442,0.12081098763056985,0.0007755614670003075
mean_pair_volume_sum,0.5889,0.5714643150223271,26.425759414012383,0.7287169746157831,5791,0.0020999999999999908,-0.0036068631889911718,0.20864933959536813,0.014078816721046272
latest_pair_volume_gmean,0.5876,0.5763976818879039,25.99027731559412,0.7105824446267432,6095,0.0008000000000000229,0.0013265036765855998,-0.22683275882289422,-0.004055713267993588
