model,walk_split,n_bars,mean_pnl,iid_std,hac_std_lag24,iid_pnl_mean_to_std,hac_pnl_mean_to_std_lag24,inflation_factor
persist_class,0,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,0,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,0,5000,-6.73019491630879e-05,0.0049936356911957575,0.004613758818947621,-0.013477544884130709,-0.014587227422182245,0.9239277961510297
zscore_rule,0,5000,0.0016478483287237793,0.005528424213662473,0.012288919105641173,0.2980683581863035,0.1340922105970526,2.2228610958021986
sklearn_hist_gradient_boosting,0,5000,0.002340459080242633,0.0062818402098625235,0.013827276840846331,0.3725753922502039,0.16926391994473003,2.2011506786080663
lstm,0,5000,0.0030749969127475195,0.006503627000671358,0.014267638526639778,0.4728126186249754,0.21552248516851955,2.193797172741757
transformer,0,5000,0.0,0.0,1e-10,0.0,0.0,
persist_class,1,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,1,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,1,5000,1.021220067737767e-05,0.006141660136258359,0.006084529610705238,0.0016627752840128953,0.001678387867389145,0.990697869259186
zscore_rule,1,5000,0.0012397632249999083,0.005215012073651297,0.010725928855454177,0.2377296941005712,0.1155856282199265,2.0567409440232427
sklearn_hist_gradient_boosting,1,5000,0.0023691629254680427,0.007281111447778397,0.013321195575325686,0.3253847908331246,0.17784912112966406,1.8295552362943477
lstm,1,5000,0.0026871395787785453,0.0070926170165284425,0.01296269789613476,0.37886432786607654,0.20729786347792625,1.8276325742567012
transformer,1,5000,0.00017249635310591634,0.0023328439348706707,0.0033576963019155267,0.07394251734009771,0.05137342320313757,1.4393145858261935
persist_class,2,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,2,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,2,5000,1.0485274546892531e-05,0.005811154526112715,0.005315428846880879,0.0018043358681612102,0.0019726112133069645,0.9146941150843146
zscore_rule,2,5000,0.001276644788832344,0.00469618835247656,0.011008747553500415,0.27184701570989983,0.11596639696097069,2.344187823662331
sklearn_hist_gradient_boosting,2,5000,0.0019508513918861695,0.006099692650996074,0.013077237266580872,0.3198278181389348,0.14917916927848418,2.1439174094198616
lstm,2,5000,0.0023239943315490463,0.006319928778294337,0.013305635238920952,0.3677247660655222,0.17466241106257135,2.10534575715772
transformer,2,5000,7.033901839837808e-05,0.0010471984531141257,0.0013661168195028227,0.06716875697171451,0.05148828957685836,1.3045443444270832
persist_class,3,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,3,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,3,5000,3.2640909035615485e-05,0.005034593038896548,0.005255960735323784,0.006483326215929764,0.006210265007545704,1.043969332718053
zscore_rule,3,5000,0.001342313055480498,0.004491805739857096,0.008758416316752332,0.2988359544514057,0.15325979114660707,1.9498653379055024
sklearn_hist_gradient_boosting,3,5000,0.0019742096208017687,0.00556264169521286,0.009366699532648062,0.35490504853130284,0.210768970854736,1.683858146159032
lstm,3,5000,0.001736303994356484,0.0050603289384605794,0.009167258184078196,0.3431207764301368,0.18940275919926827,1.8115933362361616
transformer,3,5000,-0.0006274945148575893,0.0055775342076702,0.0073738604937395955,-0.11250392942362625,-0.08509715031771105,1.3220645932747657
persist_class,4,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,4,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,4,5000,0.00015944383643660953,0.0063880448081986485,0.0061866570254474,0.024959724176006646,0.025772212000887352,0.9684742689198454
zscore_rule,4,5000,0.001192830862899154,0.005146188127662838,0.010071307429359777,0.23178920655605392,0.11843853156759222,1.9570422183406848
sklearn_hist_gradient_boosting,4,5000,0.002027152797883703,0.00701487371636654,0.013338032354151872,0.28897922897088124,0.15198289703148676,1.901393081821651
lstm,4,5000,0.002706178399828138,0.006925679236507137,0.013130434843073734,0.3907455582931327,0.20609967850803046,1.8959057147578602
transformer,4,5000,0.0,0.0,1e-10,0.0,0.0,
persist_class,5,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,5,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,5,5000,-8.397954761181397e-05,0.0076086935610267655,0.007669611403233406,-0.011037315005295237,-0.01094964831939325,1.0080063471761662
zscore_rule,5,5000,0.0016675549264715283,0.006054443920449829,0.014199195899323867,0.27542660372806516,0.11744009578394038,2.3452518655534766
sklearn_hist_gradient_boosting,5,5000,0.0029995566482721708,0.008129902913319088,0.017214318543882397,0.3689535631917628,0.1742477717387279,2.1174076403397706
lstm,5,5000,0.0026360246195399743,0.008037118698248294,0.017210863116997686,0.3279812975904538,0.15316051273085776,2.141422039809967
transformer,5,5000,-0.0003068079905282671,0.0030682660953382963,0.004161632702429819,-0.09999393175005557,-0.07372298625708452,1.3563467356213679
persist_class,6,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,6,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,6,5000,0.00015809352840064325,0.004708042277651198,0.004921401354812476,0.03357946234916029,0.03212368124498702,1.0453180036581409
zscore_rule,6,5000,0.0010469078985641848,0.0037695576829774504,0.007546988902769869,0.27772698725152983,0.13871862169824475,2.0020887163633345
sklearn_hist_gradient_boosting,6,5000,0.001698531059894088,0.004801046258896502,0.009395360933954528,0.35378352306992505,0.1807840137099632,1.9569403057811836
lstm,6,5000,0.001526295964818164,0.004571572832814392,0.009061270222857085,0.3338667064128413,0.16844172254879644,1.982090312072903
transformer,6,5000,0.00012828955517966585,0.001589457903395798,0.0014985296452371024,0.08071277314459326,0.08561028845002759,0.9427929119956988
persist_class,7,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,7,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,7,5000,-4.787152164361654e-05,0.003909755646053513,0.003953018307142122,-0.012244121110724097,-0.012110118882354933,1.0110653107265868
zscore_rule,7,5000,0.0009306545664778695,0.0032417239793573406,0.0071079128530236995,0.2870863072871393,0.13093218582188582,2.192633579627842
sklearn_hist_gradient_boosting,7,5000,0.001546214597493837,0.004029579147152096,0.0083660285603516,0.3837161502552006,0.184820621438191,2.0761544208070184
lstm,7,5000,0.0015250767144468632,0.003768063436834136,0.007975355454452056,0.40473753693706577,0.19122366685180467,2.1165661322179905
transformer,7,5000,8.586217997975609e-05,0.0010792475662204084,0.0012103945292986985,0.07955744600884368,0.0709373496834165,1.1215170338883178
persist_class,8,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,8,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,8,5000,8.074308409611612e-05,0.004944342077819729,0.004909205979716569,0.01633040004621218,0.016447279749459157,0.9928936757307346
zscore_rule,8,5000,0.0011304805936254388,0.004093066400701758,0.007666379935446005,0.2761940518315602,0.14745950541775116,1.8730162633402676
sklearn_hist_gradient_boosting,8,5000,0.0018480139478368048,0.004998183848874297,0.009106646714243214,0.3697370892535334,0.20293023390777046,1.8219911451024828
lstm,8,5000,0.00207515284470586,0.004945039828619322,0.009101751026649283,0.4196433025060695,0.22799490324773325,1.8405819451590817
transformer,8,5000,0.0,0.0,1e-10,0.0,0.0,
persist_class,9,5000,0.0,0.0,1e-10,0.0,0.0,
majority_class,9,5000,0.0,0.0,1e-10,0.0,0.0,
random_stratified,9,5000,-4.2982208754152375e-05,0.0069393660498854835,0.006861725314884513,-0.006193967639862677,-0.006264052666304639,0.9888115521730906
zscore_rule,9,5000,0.0013250551123867016,0.005507534641071351,0.012055998074009281,0.2405895194022685,0.10990837127315897,2.189000861493282
sklearn_hist_gradient_boosting,9,5000,0.002237616041407649,0.007073408654514111,0.01444020073964294,0.31634197184120644,0.15495740549261772,2.0414769519116476
