model,train_samples,test_samples,accuracy,macro_f1,trades,mean_pnl,total_pnl,pnl_mean_to_std,max_drawdown,win_rate,walk_split,train_start,train_end,test_end
persist_class,0,10000,0.4589,0.20970137318070692,0,0.0,0.0,0.0,0.0,0.0,0,2024-01-09 00:00:00+00:00,2024-03-09 00:00:00+00:00,2024-03-30 00:00:00+00:00
majority_class,27914,10000,0.4589,0.20970137318070692,0,0.0,0.0,0.0,0.0,0.0,0,2024-01-09 00:00:00+00:00,2024-03-09 00:00:00+00:00,2024-03-30 00:00:00+00:00
random_stratified,27914,10000,0.3609,0.3321393619578714,5146,1.9819773367533795e-05,0.19819773367533794,0.0006825034048246472,-4.356347634739627,0.5033035367275553,0,2024-01-09 00:00:00+00:00,2024-03-09 00:00:00+00:00,2024-03-30 00:00:00+00:00
zscore_rule,0,10000,0.4399,0.30391825929671973,2756,0.0006200717411786367,6.200717411786367,0.02532853730889781,-14.85695742763837,0.5119738751814223,0,2024-01-09 00:00:00+00:00,2024-03-09 00:00:00+00:00,2024-03-30 00:00:00+00:00
xgboost,27914,10000,0.4457,0.3798466504182181,3796,0.0018665812622091359,18.66581262209136,0.0620199649134528,-6.705936205648175,0.511854583772392,0,2024-01-09 00:00:00+00:00,2024-03-09 00:00:00+00:00,2024-03-30 00:00:00+00:00
persist_class,0,10000,0.5056,0.2238753099539497,0,0.0,0.0,0.0,0.0,0.0,1,2024-01-24 00:00:00+00:00,2024-03-24 00:00:00+00:00,2024-04-14 00:00:00+00:00
majority_class,28437,10000,0.5056,0.2238753099539497,0,0.0,0.0,0.0,0.0,0.0,1,2024-01-24 00:00:00+00:00,2024-03-24 00:00:00+00:00,2024-04-14 00:00:00+00:00
random_stratified,28437,10000,0.3712,0.3316966077345444,5295,0.00030886410944672897,3.08864109446729,0.013034887344489857,-1.7427377654378682,0.5159584513692163,1,2024-01-24 00:00:00+00:00,2024-03-24 00:00:00+00:00,2024-04-14 00:00:00+00:00
zscore_rule,0,10000,0.4032,0.27331177266134177,3344,-0.002638724049351786,-26.387240493517858,-0.14423569591602853,-27.63779828966697,0.4279306220095694,1,2024-01-24 00:00:00+00:00,2024-03-24 00:00:00+00:00,2024-04-14 00:00:00+00:00
xgboost,28437,10000,0.4682,0.3136426031507045,2091,-0.0006537278667924759,-6.537278667924759,-0.03366825645686305,-10.880935695744409,0.4495456719273075,1,2024-01-24 00:00:00+00:00,2024-03-24 00:00:00+00:00,2024-04-14 00:00:00+00:00
