sym_a,sym_b,eg_pvalue
GRTUSDT,ZILUSDT,0.0025073304448077877
VTHOUSDT,POLYXUSDT,0.00684018402761546
LINKUSDT,SUSHIUSDT,0.00970018061569856
VTHOUSDT,IMXUSDT,0.010469752228541917
AAVEUSDT,NMRUSDT,0.0169431958816285
EGLDUSDT,SANDUSDT,0.01881991051401778
FILUSDT,NMRUSDT,0.019624645339685446
DOTUSDT,EGLDUSDT,0.020768172471030345
ETHUSDT,LINKUSDT,0.022674627952252006
SHIBUSDT,NEOUSDT,0.030521792192974385
VETUSDT,HBARUSDT,0.030585244369849007
SHIBUSDT,WAXPUSDT,0.032646246594033035
ONEUSDT,GRTUSDT,0.03288235576867851
LINKUSDT,ACHUSDT,0.03604822904439781
BTCUSDT,LINKUSDT,0.03905716049933323
ADAUSDT,POLYXUSDT,0.03929247819504573
DOTUSDT,SANDUSDT,0.03976993479153924
VTHOUSDT,ZRXUSDT,0.04087332336348319
SHIBUSDT,HBARUSDT,0.04454447518833351
ETHUSDT,XLMUSDT,0.04494832416794667
YFIUSDT,ZRXUSDT,0.04649841591811312
FLOKIUSDT,ZRXUSDT,0.046674017361937166
ALGOUSDT,NEOUSDT,0.04683401849903886
XRPUSDT,LTCUSDT,0.048913652871595194
BTCUSDT,YFIUSDT,0.049556466368435956
ALGOUSDT,EGLDUSDT,0.049953685559461614
ETHUSDT,ACHUSDT,0.050699283897599055
SHIBUSDT,POLYXUSDT,0.05315984058197178
OPUSDT,SANDUSDT,0.05360054736882826
GALAUSDT,APEUSDT,0.05479846176528676
ETHUSDT,LTCUSDT,0.05559707232201983
XRPUSDT,FLOKIUSDT,0.0558928398370795
USDCUSDT,NMRUSDT,0.056015655920991746
VTHOUSDT,WAXPUSDT,0.056334921359808686
DOGEUSDT,FLOKIUSDT,0.057257899323372795
SHIBUSDT,MANAUSDT,0.05830324340532928
POLYXUSDT,IMXUSDT,0.05864964622027879
BTCUSDT,ACHUSDT,0.058754262278184984
AAVEUSDT,FILUSDT,0.058853898609708175
BTCUSDT,ZRXUSDT,0.06172295659310589
ATOMUSDT,IMXUSDT,0.06211691423900615
WAXPUSDT,EGLDUSDT,0.06382645825125122
BTCUSDT,IOTAUSDT,0.06480647912980374
BTCUSDT,XRPUSDT,0.06605642443067075
SHIBUSDT,ROSEUSDT,0.06619839590680905
SOLUSDT,NEOUSDT,0.06748722007233436
BTCUSDT,SUSHIUSDT,0.0675200118973502
BTCUSDT,USDCUSDT,0.06830318062644038
BTCUSDT,LDOUSDT,0.06847072616766686
BTCUSDT,POLYXUSDT,0.0685158036071224
BTCUSDT,AAVEUSDT,0.06903400334755136
LTCUSDT,STORJUSDT,0.07283283535215712
ADAUSDT,VTHOUSDT,0.07329234045730648
SHIBUSDT,AAVEUSDT,0.07835226803557367
BTCUSDT,STORJUSDT,0.07862857521445611
ADAUSDT,AVAXUSDT,0.07890327246624845
ETHUSDT,LDOUSDT,0.07905864292291709
ZRXUSDT,IMXUSDT,0.07956596794133419
GALAUSDT,MANAUSDT,0.08079562834213566
WAXPUSDT,NEOUSDT,0.08127346956468673
