sym,hour,exec_vol,hidden,n_ep,n_iceberg,hidden_ask,hidden_bid,hidden_fraction,iceberg_rate,signed_hidden,ret,rv,trade_count,ofi_norm,spread,rv_next,ret_next,hour_next,contig
AVAXUSDT,473688,66457.28,153.35999999999996,1497,6,110.64999999999995,42.71000000000001,0.0023076478603999435,0.004008016032064128,0.0010223108739930364,0.013793322132336083,0.010588563683142968,6835,0.01805362893915079,0.0002817075767510934,0.008718133832612182,0.00279173827326451,473689.0,True
AVAXUSDT,473689,42681.03,124.56999999999982,932,2,0.0,124.56999999999982,0.0029186268466342034,0.002145922746781116,-0.0029186268466342034,0.00279173827326451,0.008718133832612182,4452,-0.18588909389350203,0.0002798376117140841,0.008218940397729075,0.012739025777429802,473690.0,True
AVAXUSDT,473690,53050.520000000004,168.8700000000002,824,6,158.45000000000013,10.420000000000073,0.003183192172291623,0.007281553398058253,0.0027903590765934066,0.012739025777429802,0.008218940397729075,4760,0.1180809002975309,0.00027730695568825385,0.007131813883638903,-0.009122385307241299,473691.0,True
AVAXUSDT,473691,43785.28,201.1200000000007,780,8,157.65000000000055,43.47000000000013,0.004593324514540062,0.010256410256410256,0.0026077257014229535,-0.009122385307241299,0.007131813883638903,4381,-0.10018846150327454,0.0002759192420418988,0.008036890424238023,0.005813165159175515,473692.0,True
AVAXUSDT,473692,39518.04,142.6299999999999,618,6,138.77,3.8599999999999,0.003609237705108854,0.009708737864077669,0.0034138838869539104,0.005813165159175515,0.008036890424238023,3274,-0.06664119979524635,0.0002776564600679069,0.006618414254498068,-0.0030416171659006785,473693.0,True
AVAXUSDT,473693,40627.89,376.02000000000004,705,6,199.75000000000006,176.27,0.009255218521070132,0.00851063829787234,0.0005779281178520481,-0.0030416171659006785,0.006618414254498068,4145,0.09310542832942571,0.00027698241624385975,0.006907879149351815,-0.0002769699505313916,473694.0,True
AVAXUSDT,473694,33494.67,91.37000000000018,613,4,37.25000000000017,54.120000000000005,0.0027278967071477397,0.0065252854812398045,-0.0005036622244673506,-0.0002769699505313916,0.006907879149351815,3084,-0.03107434220073364,0.0002769123931998965,0.006505012180636997,-0.0036066067669793256,473695.0,True
AVAXUSDT,473695,43774.27,187.03999999999996,621,6,177.88000000000005,9.159999999999911,0.004272829678256199,0.00966183574879227,0.0038543189869299967,-0.0036066067669793256,0.006505012180636997,3814,0.18437325874456179,0.0002782355522998194,0.008228561679034062,0.004435826513834229,473696.0,True
AVAXUSDT,473696,58010.19,405.6000000000002,770,6,0.0,405.6000000000002,0.006991875048159645,0.007792207792207792,-0.006991875048159645,0.004435826513834229,0.008228561679034062,4240,-0.3576482131478753,0.0002774918553871828,0.006158310811346964,0.007166513582568701,473697.0,True
AVAXUSDT,473697,38236.39,135.84000000000003,657,4,24.400000000000006,111.44000000000001,0.0035526366375068365,0.0060882800608828,-0.0022763655250927196,0.007166513582568701,0.006158310811346964,3516,0.06957706489977523,0.0002766689307024377,0.006465426122083141,-0.0019243992193169746,473698.0,True
AVAXUSDT,473698,35652.03,0.0,682,0,0.0,0.0,0.0,0.0,0.0,-0.0019243992193169746,0.006465426122083141,3466,-0.11234174936267663,0.00027516421240941254,0.006574165591328674,0.0,473699.0,True
AVAXUSDT,473699,39381.47,194.11000000000013,612,5,194.11,8.526512829121202e-14,0.004928967862296662,0.008169934640522876,0.004928967862296657,0.0,0.006574165591328674,3365,-0.07327591922622423,0.00027604519388973623,0.007513944731195584,-0.0013768417430464197,473700.0,True
AVAXUSDT,473700,54044.54,124.1700000000002,954,6,18.25,105.9200000000002,0.002297549391668431,0.006289308176100629,-0.0016221805199933277,-0.0013768417430464197,0.007513944731195584,5111,-0.09903236180104587,0.00027554429288050117,0.007203898271546888,0.0,473701.0,True
AVAXUSDT,473701,42015.23,107.40999999999995,860,3,106.67999999999999,0.7299999999999613,0.002556453933490307,0.0034883720930232558,0.0025217046294879267,0.0,0.007203898271546888,3730,0.05244832548490575,0.00027569686383366933,0.011366370600888204,-0.022297467805557414,473702.0,True
AVAXUSDT,473702,78801.03,519.8900000000002,1543,10,249.89000000000019,270.00000000000006,0.0065975025960955105,0.0064808813998703824,-0.0002551997099530282,-0.022297467805557414,0.011366370600888204,7766,-0.1119561278640668,0.0002794688508568831,0.010031965365433004,-0.0056529263027882415,473703.0,True
AVAXUSDT,473703,83351.56,304.44999999999993,1118,8,19.210000000000036,285.2399999999999,0.003652601103086732,0.007155635062611807,-0.0031916619197049204,-0.0056529263027882415,0.010031965365433004,6981,-0.10497489138017974,0.0002824827236630759,0.007815712157052186,0.0165897239290258,473704.0,True
AVAXUSDT,473704,51982.03,0.20999999999997954,909,1,0.0,0.20999999999997954,4.039857620027143e-06,0.0011001100110011,-4.039857620027143e-06,0.0165897239290258,0.007815712157052186,6205,0.2534807756596899,0.00028137760279264585,0.007632313409369914,0.007224260371797797,473705.0,True
AVAXUSDT,473705,66012.24,177.29,1023,6,91.41999999999999,85.87,0.002685714043334993,0.005865102639296188,8.407531694122154e-05,0.007224260371797797,0.007632313409369914,6579,-0.09545422546002535,0.0002772701563317437,0.008900488668936585,0.00469290026216207,473706.0,True
AVAXUSDT,473706,96708.29,670.1800000000004,1257,19,273.4100000000002,396.77000000000015,0.006929912626931987,0.015115354017501989,-0.0012755886801431393,0.00469290026216207,0.008900488668936585,9627,-0.06000401698431179,0.00027534178811865586,0.006516592638367905,0.0024755892164507465,473707.0,True
AVAXUSDT,473707,43091.15,101.51000000000005,736,3,21.369999999999976,80.14000000000007,0.0023557041295022307,0.004076086956521739,-0.0013638531345763595,0.0024755892164507465,0.006516592638367905,3757,-0.00020220949917111673,0.000275445424415575,0.006880579497156222,-0.010491537427340436,473708.0,True
AVAXUSDT,473708,39440.82,68.98000000000019,792,9,18.159999999999982,50.820000000000206,0.001748949438678004,0.011363636363636364,-0.0008280760896959096,-0.010491537427340436,0.006880579497156222,4377,-0.15986712802187844,0.000276136285137954,0.006450554179174484,-0.007524070607793476,473709.0,True
AVAXUSDT,473709,43861.39,231.7700000000003,735,6,0.0,231.7700000000003,0.0052841462616665886,0.00816326530612245,-0.0052841462616665886,-0.007524070607793476,0.006450554179174484,3662,0.018654745061102602,0.0002789656179733653,0.008615527866800773,-0.007578983646908011,473710.0,True
AVAXUSDT,473710,48806.8,14.040000000000067,818,6,5.640000000000061,8.400000000000006,0.0002876648335887636,0.007334963325183374,-5.654949720120853e-05,-0.007578983646908011,0.008615527866800773,4706,-0.07308250889951737,0.0002812383987794859,0.0065937673423995995,0.003375530631281265,473711.0,True
AVAXUSDT,473711,37519.01,49.44,733,6,42.879999999999995,6.560000000000002,0.0013177319977259526,0.008185538881309686,0.0009680426002711689,0.003375530631281265,0.0065937673423995995,3180,0.151467055831606,0.00028144989591249314,0.008802394467092823,0.010833831824018425,474432.0,False
AVAXUSDT,474432,144453.17,2116.7400000000002,1549,25,587.7900000000001,1528.95,0.014653468663927556,0.016139444803098774,-0.006515329500903303,0.010833831824018425,0.008802394467092823,10997,-0.026254347963265437,0.00023575921551262396,0.011481057905186231,-0.010126072630369798,474433.0,True
AVAXUSDT,474433,124011.82,766.9499999999996,1656,9,106.32999999999991,660.6199999999997,0.006184491123507417,0.005434782608695652,-0.004469654586151543,-0.010126072630369798,0.011481057905186231,9425,-0.09869253829723122,0.0002367762427276501,0.00949066695354647,-0.004032741795576555,474434.0,True
AVAXUSDT,474434,101451.02,3015.169999999999,1052,6,113.92999999999984,2901.2399999999993,0.02972045032174146,0.005703422053231939,-0.027474440375266796,-0.004032741795576555,0.00949066695354647,6302,-0.026727994224067433,0.000236409660721432,0.006281321426184569,0.0073416552377234545,474435.0,True
AVAXUSDT,474435,83439.52,0.24000000000001087,702,2,0.2400000000000091,1.7763568394002505e-15,2.87633485906931e-06,0.002849002849002849,2.876334859069267e-06,0.0073416552377234545,0.006281321426184569,4019,0.03361245161221312,0.00023718551855670905,0.007461580256190359,-0.008294869221613155,474436.0,True
AVAXUSDT,474436,90801.85,1449.1700000000008,768,9,1242.7900000000009,206.38,0.015959696856396654,0.01171875,0.01141397449501305,-0.008294869221613155,0.007461580256190359,4962,0.032789931712334984,0.0002377615064091288,0.008209788309684623,-0.010047931426470313,474437.0,True
AVAXUSDT,474437,97558.75,572.16,952,7,190.9199999999999,381.24000000000007,0.005864773790152087,0.007352941176470588,-0.0019508245031839805,-0.010047931426470313,0.008209788309684623,7421,-0.15328371964966087,0.00023907369028261874,0.005493181205348837,0.0033613477027047978,474438.0,True
AVAXUSDT,474438,51497.590000000004,100.91000000000003,569,2,53.579999999999984,47.33000000000004,0.001959509173147715,0.0035149384885764497,0.00012136490270709644,0.0033613477027047978,0.005493181205348837,3511,0.0621932374895469,0.00023991770316774875,0.011256532208139772,0.027891195801399427,474439.0,True
AVAXUSDT,474439,109285.51,838.4700000000001,1036,8,79.58999999999989,758.8800000000002,0.007672288851468051,0.007722007722007722,-0.006215737109155645,0.027891195801399427,0.011256532208139772,9794,0.1651654406909021,0.0002375504096721452,0.01238305340960631,-0.007956980900582167,474440.0,True
AVAXUSDT,474440,132626.82,469.94,1710,11,257.51000000000005,212.42999999999995,0.0035433255505937637,0.006432748538011696,0.0003399010848635298,-0.007956980900582167,0.01238305340960631,11168,-0.06303996722789519,0.00023507804401581205,0.008604042934694288,0.008425043984050085,474441.0,True
AVAXUSDT,474441,148613.24,3472.1899999999982,1467,42,612.7399999999985,2859.45,0.023363934465058418,0.028629856850715747,-0.015117832031654795,0.008425043984050085,0.008604042934694288,13252,0.020712128065856605,0.0002337970710603347,0.011758830695888808,0.006737161038638639,474442.0,True
AVAXUSDT,474442,161930.38999999998,2126.1699999999996,1580,45,430.7799999999996,1695.3899999999999,0.013130148084000785,0.028481012658227847,-0.007809590281354849,0.006737161038638639,0.011758830695888808,15117,0.05414629306920248,0.0002316374298156488,0.009720258297597161,-0.007668214640179194,474443.0,True
AVAXUSDT,474443,90305.67,622.9299999999998,1119,8,21.29000000000002,601.6399999999999,0.006898016481135679,0.0071492403932082215,-0.006426506774159363,-0.007668214640179194,0.009720258297597161,7789,-0.17752521094207638,0.00023294943472444994,0.010236583623867344,-0.009138903676202403,474444.0,True
AVAXUSDT,474444,112274.9,562.5000000000003,1539,15,83.40000000000009,479.10000000000025,0.005010024502359836,0.009746588693957114,-0.0035243852365933986,-0.009138903676202403,0.010236583623867344,9515,-0.03233151433007183,0.00023518142186859274,0.008845020164859206,0.0021164029063776013,474445.0,True
AVAXUSDT,474445,66897.05,172.6199999999999,937,3,167.90999999999985,4.710000000000036,0.002580382841993778,0.0032017075773745998,0.0024395694578460457,0.0021164029063776013,0.008845020164859206,5129,0.14796860396282258,0.0002356172229232067,0.010727339704098166,0.010282866955583891,474446.0,True
AVAXUSDT,474446,109572.2,1509.6299999999997,1640,19,901.6199999999999,608.0099999999998,0.013777491005930334,0.011585365853658536,0.0026796030379968652,0.010282866955583891,0.010727339704098166,8771,0.0615001124981739,0.00023391238484612992,0.01762797459137958,-0.026391729691226384,474447.0,True
AVAXUSDT,474447,254931.16,4224.900000000001,3630,54,2513.69,1711.2100000000003,0.016572709275711923,0.01487603305785124,0.003147830182861914,-0.026391729691226384,0.01762797459137958,22698,-0.09920036268984549,0.00023710045792469498,0.01266036378731028,0.0004774409257559675,474448.0,True
AVAXUSDT,474448,178643.23,1747.7300000000005,2424,24,745.4700000000001,1002.2600000000002,0.009783354230664103,0.009900990099009901,-0.0014374460202046283,0.0004774409257559675,0.01266036378731028,13298,-0.05401273917314179,0.0002389589943600466,0.009200347661336894,0.0002386919691486078,474449.0,True
AVAXUSDT,474449,99769.23,294.1999999999998,1162,6,190.88999999999982,103.31,0.002948804957199728,0.0051635111876075735,0.0008778257585028953,0.0002386919691486078,0.009200347661336894,7044,0.007390439186192051,0.000238343911708759,0.00901170202455852,-0.0023889165685062608,474450.0,True
AVAXUSDT,474450,54710.44,112.16000000000028,1066,3,0.0,112.16000000000028,0.0020500657644135245,0.0028142589118198874,-0.0020500657644135245,-0.0023889165685062608,0.00901170202455852,5117,0.006655092308888268,0.00023853415460509583,0.008406314249915541,-0.002874253475768196,474451.0,True
AVAXUSDT,474451,80949.32,432.64000000000027,1027,15,81.58000000000013,351.0600000000002,0.005344578558535145,0.014605647517039922,-0.0033289964634662774,-0.002874253475768196,0.008406314249915541,6256,-0.0029052867864272224,0.00024059313119702088,0.007542668182089258,-0.004327970208458876,474452.0,True
AVAXUSDT,474452,64957.13,987.2300000000005,1083,9,731.6700000000002,255.5600000000003,0.015198177628845372,0.008310249307479225,0.007329603386110192,-0.004327970208458876,0.007542668182089258,5504,0.09886239803719983,0.00024037270476861202,0.011256746829527388,-0.012365292720406096,474453.0,True
AVAXUSDT,474453,98365.56,1204.6299999999999,1469,14,410.19,794.4399999999998,0.012246461058118307,0.009530292716133424,-0.00390634689621042,-0.012365292720406096,0.011256746829527388,9313,-0.19454596059019788,0.00024167298419088356,0.009776378440492164,0.008260494007394481,474454.0,True
AVAXUSDT,474454,66288.45999999999,136.5599999999999,887,12,124.18999999999988,12.370000000000005,0.0020600870800136237,0.013528748590755355,0.0016868697809543304,0.008260494007394481,0.009776378440492164,5480,0.05687631429043972,0.00024251081028723041,0.004270025523496549,0.005308892777816432,474455.0,True
AVAXUSDT,474455,52639.2,330.0300000000001,491,4,330.0300000000001,0.0,0.006269662152920259,0.008146639511201629,0.006269662152920259,0.005308892777816432,0.004270025523496549,3351,0.1450491132397518,0.00024095245493964388,0.013903364408049654,-0.009780914779502936,475080.0,False
AVAXUSDT,475080,207418.26,10474.929999999998,3056,78,4483.24,5991.689999999999,0.05050148429554851,0.025523560209424083,-0.007272503394831289,-0.009780914779502936,0.013903364408049654,23910,-0.17555864760480966,0.00018245069036463744,0.0145008784873132,-0.011351275307774689,475081.0,True
AVAXUSDT,475081,207799.65,7653.81,3157,196,3384.56,4269.25,0.03683264144092639,0.06208425720620843,-0.004257418142908326,-0.011351275307774689,0.0145008784873132,34043,-0.10307230771645817,0.0001846702917463807,0.010104077968887775,-0.009063226747994424,475082.0,True
AVAXUSDT,475082,122006.58,1531.9300000000005,1886,45,692.42,839.5100000000006,0.012556126071233211,0.02386002120890774,-0.0012055907148614492,-0.009063226747994424,0.010104077968887775,15952,-0.2150438762590254,0.00018500963302023704,0.009217071447561892,-0.010084119066625874,475083.0,True
AVAXUSDT,475083,126981.6,1955.1299999999999,1687,53,1177.1299999999999,778.0,0.015396955149407471,0.03141671606401897,0.003143211299904867,-0.010084119066625874,0.009217071447561892,18599,-0.0675560313366384,0.00018692857103202144,0.009340388438998723,0.0035597227285064648,475084.0,True
AVAXUSDT,475084,130007.53,2102.02,1627,64,1305.7700000000002,796.2499999999999,0.016168448089122222,0.03933620159803319,0.003919157605717149,0.0035597227285064648,0.009340388438998723,17561,0.006420042934382701,0.0001875977425412584,0.014309193922680478,-0.0075103620011791605,475085.0,True
AVAXUSDT,475085,205120.58,8120.689999999995,1899,74,1809.2,6311.489999999994,0.039589835403156505,0.03896787783043707,-0.0219494796670329,-0.0075103620011791605,0.014309193922680478,26305,-0.12871867989130364,0.0001868694701859612,0.01622784141128435,0.020888487947355205,475086.0,True
AVAXUSDT,475086,184433.96,13695.919999999998,2514,150,10895.3,2800.6200000000003,0.07425920909576522,0.059665871121718374,0.043889314093781856,0.020888487947355205,0.01622784141128435,24360,0.2347475352513711,0.00018606306146989573,0.011089197919004217,-0.005738099964506471,475087.0,True
AVAXUSDT,475087,179480.5,28643.71999999999,1982,70,26259.38999999999,2384.3300000000004,0.1595923791163942,0.035317860746720484,0.13302314178977653,-0.005738099964506471,0.011089197919004217,18157,0.1594945314274223,0.0001855680905923831,0.01098692142462858,0.005183277061856284,475088.0,True
AVAXUSDT,475088,121704.48,1940.94,2260,53,1212.3799999999999,728.5600000000001,0.015947974963616787,0.023451327433628318,0.003975367217377699,0.005183277061856284,0.01098692142462858,15571,0.0642078278898749,0.00018491703344839398,0.009074684254538803,-0.0061116960311533575,475089.0,True
AVAXUSDT,475089,97107.22,1320.1200000000001,1482,37,634.4,685.72,0.013594457755046432,0.02496626180836707,-0.0005284879950224097,-0.0061116960311533575,0.009074684254538803,10862,0.04198732237276121,0.0001847064139481206,0.008546742847297985,0.0012993041271052164,475090.0,True
