sym,retail_1s,retail_n,retail_perm,mid_1s,mid_n,mid_perm,institutional_1s,institutional_n,institutional_perm,inst_over_retail
BTCUSDT,0.12509939220610258,10346694,0.21032297743138914,0.23417429555780783,2771754,0.8280293819610905,0.3264935953919128,878026,0.6849898424895436,2.609873554413527
ETHUSDT,0.15375261867418388,7061632,0.7165319157431547,0.2395946370118834,2024366,0.6078909503164414,0.3189610218608678,498132,0.4760756133981571,2.0745078985404204
SOLUSDT,0.15446652436347055,4796992,0.6916389271173277,0.2565036987655701,1532458,0.9247641541011256,0.31814284127720266,243610,0.583961952765061,2.0596232263800425
AVAXUSDT,0.17978949390895196,1088860,0.969105932078528,0.37482126797940263,294835,1.508068025041084,0.37921412887993866,24728,0.04827281403668038,2.1092118378840214
LINKUSDT,0.21302215704094946,999795,0.7687520568815873,0.27515867590222154,229367,1.0978033213814675,0.27984220040785723,16968,0.7592776017823346,1.31367649400932
ADAUSDT,0.17957726679134517,1291471,0.6149040690805736,0.38179684683972726,281676,1.5302073718876958,0.39200282609741255,19275,0.2925829031325829,2.1829201050982103
USDCUSDT,0.0013513128476161523,3979689,0.0831664301558982,0.0030230238491131462,722614,0.13591066676148916,0.007912695291838572,105586,0.13801469182354179,5.855561357088654
XRPUSDT,0.14371948461180814,2413694,0.8143419764752795,0.2841778535573745,707112,0.4060617216512429,0.3673142172388983,105565,1.0433797085664611,2.5557718790255066
BNBUSDT,0.1294411255201527,3422857,0.8994606826983231,0.29490155360049464,641764,0.975059385009189,0.3517681851549689,117996,0.25767236726768095,2.717592138830731
DOGEUSDT,0.14583838380239872,4339237,1.3152560331827505,0.20997217365253917,1230993,1.3617358598820586,0.3064968750888327,156291,0.4180092256371236,2.1016200748913643
FETUSDT,0.23968222957293403,1165299,0.284921545437424,0.14099443442413495,204578,0.46705571170145416,0.06985922011178633,13226,0.23750905140860196,0.29146599744278723
VETUSDT,0.2204114044905353,800836,0.9847907450809711,0.1557913296591039,68073,0.7986580418688426,0.05490033934024976,2466,2.6554636241162095,0.24908121005420678
GALAUSDT,0.23232737258154332,807577,0.4601054642693452,0.3442805949731247,120673,1.2638483721737068,0.49559907679050685,4908,1.6605726658097624,2.1331927929265384
SHIBUSDT,0.10878239230048002,1575953,0.9148620119030139,0.2604414043579905,381005,0.39674846698196353,0.37518893812942933,45221,0.2702677456404786,3.448985908427882
LTCUSDT,0.14319950420848082,1139792,1.2642949128411007,0.3073343182046118,170680,1.1992994815160472,0.24846875368959886,10104,-0.15717040116269074,1.7351230024362305
ATOMUSDT,0.2359036334852577,657571,0.8580713218200436,0.2881119722012345,65925,1.4140454559416522,0.25616444424156193,2750,1.0805107063096153,1.08588596308149
DOTUSDT,0.18104081521285192,1011243,0.1970110475795339,0.28731974917486264,147070,0.4102579533781277,0.242912942217497,8381,-0.475724475770294,1.3417578899647644
XLMUSDT,0.19711904644532788,440301,0.45905176365316414,0.41732984286629377,61403,1.261738602566495,0.5618388366187552,2705,2.4691587114839626,2.8502513924984134
HBARUSDT,0.21724770555154915,587099,1.3391697122815718,0.2921032801094526,96669,-0.6087760871771876,0.27862511848221766,4512,5.976425562564151,1.2825227211253778
ONEUSDT,0.43863551200809925,273093,1.457974142033566,0.42557565253912566,10893,1.0553970948811444,0.4321386735331715,422,0.87697303803115,0.9851885260151764
VTHOUSDT,0.6372644181007812,580416,2.246801300158677,1.7043499085681801,38932,5.0818233580935495,3.114191291019123,1949,8.409732230234958,4.88681182028058
BCHUSDT,0.2272982663581606,783524,0.06619926965481643,0.2890211489707155,153155,0.855474961529339,0.0786258042665365,6963,0.5126805695484731,0.3459146676580607
ALGOUSDT,0.18449577388381527,493370,0.5719659853291595,0.2865463035038354,41333,0.5622059451969147,0.23929572210208666,1556,-4.157955889242976,1.2970254931301637
NEARUSDT,0.22060220334583808,1670286,1.670268285846939,0.33347597154295944,301799,1.336847796571936,0.2492041064605409,15142,-0.054282282287860965,1.129653750873302
AAVEUSDT,0.27624969707153973,1283047,-0.19132645711207744,0.3860230130643246,110601,-0.04241392882597894,0.40271441502353095,6906,-0.227402407880671,1.4577913362172519
FLOKIUSDT,0.28991917343352297,3584554,0.9341663416313677,0.3099599985342103,249115,0.4987154476380831,0.29259927666902336,13507,-2.631517961058797,1.0092443117982155
WAXPUSDT,0.6714851270949362,220810,1.5990056370498225,0.7528924568106822,4287,-2.0459390851345436,0.6071526942589593,64,9.545286065502923,0.904193808261547
UNIUSDT,0.2565288053393251,972063,1.4839977568209008,0.32028972915456105,119335,0.6579175397716682,0.04480056332772557,6422,-0.2967049668946467,0.17464145310490703
ROSEUSDT,0.5509858158748785,512991,1.2487954099582548,0.513085896006025,24953,0.5259241941203676,0.8061604797040502,999,-1.674367417453473,1.463123834547346
GRTUSDT,0.2408497473029406,648022,0.7315598810615885,0.4022316036179702,56425,0.7975978711153945,0.4089350032038658,1792,8.02778681734899,1.6978842941840737
YFIUSDT,0.6587019090263148,214175,1.357691873077458,0.5990491598340957,9126,1.7973222384944325,0.41441577964351123,316,4.882358748776388,0.6291400919971458
OPUSDT,0.20187514876759063,805968,0.7501532808262091,0.3408907481321242,149682,0.7894590328492364,0.46317557789734537,9672,-0.008359278645376292,2.294366496941026
EGLDUSDT,0.3638144862953676,364115,1.239024544778781,0.5007922693159268,26844,1.1964404181685815,0.8224696635373844,1012,-1.5016093956794025,2.260684207251856
THETAUSDT,0.2818429191007403,342457,0.8064431650408502,0.4541709391168623,29570,0.7510279715112684,0.5568402334286646,1364,-2.8303038965740814,1.9757112763568523
ZILUSDT,0.4369816001392537,366010,1.4986646466352982,0.3818482662188725,26834,-0.0544340544461314,0.7894152769705205,918,0.4983795046980895,1.8065183447517152
ACHUSDT,0.5218144937570237,321156,1.9396072526426653,0.6737529010798243,19858,-0.7507397789014668,0.7083339280533948,646,2.3732757827700506,1.3574439509210365
